src,dst,rel
6444,3031,subClassOf
8326,6444,subClassOf
3069,6444,subClassOf
4560,3031,subClassOf
12807,4560,subClassOf
6720,4560,subClassOf
7130,4560,subClassOf
6790,4560,subClassOf
2916,4560,subClassOf
4241,4560,subClassOf
2764,4560,subClassOf
5070,3031,subClassOf
3059,3031,subClassOf
3020,3031,subClassOf
4940,3031,subClassOf
6248,3031,subClassOf
3825,3031,subClassOf
1114,3031,subClassOf
4376,3031,subClassOf
3295,3031,subClassOf
1114,3015,subClassOf
5666,5016,subClassOf
7381,5666,subClassOf
12808,7381,subClassOf
2478,5666,subClassOf
5868,2478,subClassOf
8452,5666,subClassOf
5762,5666,subClassOf
1651,5666,subClassOf
10592,1651,subClassOf
218,1651,subClassOf
2654,5666,subClassOf
5015,2654,subClassOf
1241,2654,subClassOf
5816,5666,subClassOf
12558,5816,subClassOf
12356,5816,subClassOf
6259,5816,subClassOf
542,5816,subClassOf
1809,5666,subClassOf
1157,5016,subClassOf
2992,1157,subClassOf
1343,2992,subClassOf
3049,2992,subClassOf
11509,1157,subClassOf
7629,11509,subClassOf
5014,1157,subClassOf
12570,5014,subClassOf
11051,5014,subClassOf
7590,5014,subClassOf
575,5014,subClassOf
5071,5014,subClassOf
6717,5014,subClassOf
3255,5014,subClassOf
215,5014,subClassOf
5405,1157,subClassOf
8452,5405,subClassOf
6804,5405,subClassOf
4067,5405,subClassOf
5396,5405,subClassOf
4758,5405,subClassOf
1795,1157,subClassOf
4991,1157,subClassOf
858,4991,subClassOf
8452,858,subClassOf
858,858,subClassOf
5393,858,subClassOf
8969,858,subClassOf
5336,858,subClassOf
1967,858,subClassOf
2686,858,subClassOf
581,858,subClassOf
556,858,subClassOf
9028,4991,subClassOf
12445,4991,subClassOf
560,4991,subClassOf
1546,4991,subClassOf
750,4991,subClassOf
3052,4991,subClassOf
1932,5016,subClassOf
5393,1932,subClassOf
8969,1932,subClassOf
858,1932,subClassOf
7146,1932,subClassOf
556,1932,subClassOf
581,1932,subClassOf
2686,1932,subClassOf
2703,3291,subClassOf
3303,2703,subClassOf
1310,3303,subClassOf
7319,1310,subClassOf
4213,1310,subClassOf
3279,1310,subClassOf
9108,2703,subClassOf
10415,9108,subClassOf
2063,2703,subClassOf
5925,2063,subClassOf
12385,5925,subClassOf
8005,5925,subClassOf
11003,5925,subClassOf
4146,5925,subClassOf
574,5925,subClassOf
211,5925,subClassOf
12530,2063,subClassOf
10064,2063,subClassOf
11063,2063,subClassOf
3585,2063,subClassOf
544,2703,subClassOf
955,2703,subClassOf
6262,955,subClassOf
7961,6262,subClassOf
9040,6262,subClassOf
10046,6262,subClassOf
4057,6262,subClassOf
13132,955,subClassOf
2374,955,subClassOf
9003,2374,subClassOf
8096,2374,subClassOf
2745,2374,subClassOf
1292,2374,subClassOf
5399,2374,subClassOf
6632,2374,subClassOf
8986,955,subClassOf
10607,955,subClassOf
2594,955,subClassOf
179,955,subClassOf
13639,179,subClassOf
11732,179,subClassOf
4107,179,subClassOf
1894,179,subClassOf
3944,179,subClassOf
5001,2703,subClassOf
9108,5001,subClassOf
12630,5001,subClassOf
10282,5001,subClassOf
9290,5001,subClassOf
3879,5001,subClassOf
4477,5001,subClassOf
952,5001,subClassOf
12246,952,subClassOf
8335,952,subClassOf
10630,952,subClassOf
11976,952,subClassOf
11250,952,subClassOf
3991,952,subClassOf
1813,952,subClassOf
1339,952,subClassOf
2862,952,subClassOf
3045,952,subClassOf
4505,952,subClassOf
2677,952,subClassOf
966,5001,subClassOf
3250,2703,subClassOf
5751,2703,subClassOf
5020,5751,subClassOf
10069,5020,subClassOf
8605,5020,subClassOf
7110,5020,subClassOf
8418,5020,subClassOf
8975,5020,subClassOf
9614,5020,subClassOf
9104,5020,subClassOf
6161,5020,subClassOf
1350,5751,subClassOf
1896,1350,subClassOf
12532,1896,subClassOf
7092,1896,subClassOf
10763,1896,subClassOf
3821,1896,subClassOf
5924,1896,subClassOf
1985,1896,subClassOf
2816,1896,subClassOf
7973,1350,subClassOf
1690,1350,subClassOf
235,1350,subClassOf
4996,1350,subClassOf
2594,1350,subClassOf
1493,1350,subClassOf
5464,5751,subClassOf
9649,5464,subClassOf
6446,5464,subClassOf
8003,6446,subClassOf
10045,6446,subClassOf
12802,6446,subClassOf
5012,6446,subClassOf
591,6446,subClassOf
705,5464,subClassOf
9660,705,subClassOf
8382,705,subClassOf
10940,705,subClassOf
956,705,subClassOf
5415,705,subClassOf
1357,705,subClassOf
5389,705,subClassOf
6263,705,subClassOf
13403,5464,subClassOf
3021,5464,subClassOf
3041,5464,subClassOf
6247,5464,subClassOf
1186,5464,subClassOf
2820,2703,subClassOf
10195,2820,subClassOf
