id,name,uri
5759,Regulation,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Regulation
11079,Regulator,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Regulator
7210,RegulationThemeL1,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#RegulationThemeL1
10523,RegulationL2,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#RegulationL2
2835,Juridiction,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Juridiction
